Cluster,Cluster_label,Gene
5,Cluster_5,TMEM50B
2,Cluster_2,TMEM55A
6,Cluster_6,TMEM59
3,Cluster_3,TMEM86B
4,Cluster_4,TMEM87B
5,Cluster_5,TMEM88
2,Cluster_2,TMSB15A
2,Cluster_2,TMSB15B
4,Cluster_4,TMX1
4,Cluster_4,TMX4
4,Cluster_4,TNFAIP3
2,Cluster_2,TNFRSF10B
5,Cluster_5,TNFRSF12A
5,Cluster_5,TNFRSF19
5,Cluster_5,TNFSF9
6,Cluster_6,TNIK
2,Cluster_2,TNNT1
3,Cluster_3,TNXB
3,Cluster_3,TOMM20L
6,Cluster_6,TOP2A
4,Cluster_4,TOR3A
4,Cluster_4,TP53INP1
2,Cluster_2,TPD52L1
2,Cluster_2,TPM2
5,Cluster_5,TRAF3IP2-AS1
2,Cluster_2,TRAF4
3,Cluster_3,TRAFD1
2,Cluster_2,TRAPPC6A
1,Cluster_1,TRERF1
2,Cluster_2,TREX2
3,Cluster_3,TRIM11
1,Cluster_1,TRIM25
4,Cluster_4,TRIM36
3,Cluster_3,TRIM47
2,Cluster_2,TRIM5
6,Cluster_6,TRIM50
2,Cluster_2,TRIM6
4,Cluster_4,TRIM68
3,Cluster_3,TRIM69
2,Cluster_2,TRIM7
5,Cluster_5,TRIM77P
6,Cluster_6,TRIO
2,Cluster_2,TSHZ3
3,Cluster_3,TSNAX
3,Cluster_3,TSPAN1
3,Cluster_3,TSPAN11
2,Cluster_2,TSPO
3,Cluster_3,TTC16
5,Cluster_5,TTC18
2,Cluster_2,TTC26
5,Cluster_5,TTC28-AS1
4,Cluster_4,TTC30B
2,Cluster_2,TTC39A
4,Cluster_4,TTC5
3,Cluster_3,TTTY16
3,Cluster_3,TUBB2B
2,Cluster_2,TUBB3
4,Cluster_4,TWISTNB
2,Cluster_2,TXLNB
6,Cluster_6,TXNDC9
4,Cluster_4,TXNL4B
4,Cluster_4,TYMS
4,Cluster_4,UBAC1
5,Cluster_5,UBAP1L
3,Cluster_3,UBAP2L
2,Cluster_2,UBC
5,Cluster_5,UBE2C
4,Cluster_4,UBE2Q1
6,Cluster_6,UBL3
2,Cluster_2,UBL5
4,Cluster_4,UBQLN2
4,Cluster_4,UBR7
3,Cluster_3,UBTF
2,Cluster_2,UCHL1
2,Cluster_2,UCN
2,Cluster_2,UCN2
6,Cluster_6,UGCG
2,Cluster_2,UGDH
2,Cluster_2,UGT2B4
5,Cluster_5,UNC5CL
3,Cluster_3,UNKL
5,Cluster_5,UOX
3,Cluster_3,UPK3B
4,Cluster_4,USP27X
4,Cluster_4,USP31
4,Cluster_4,USP37
6,Cluster_6,USP44
4,Cluster_4,USP46
3,Cluster_3,UTF1
6,Cluster_6,UTP20
3,Cluster_3,VAMP2
2,Cluster_2,VAMP8
2,Cluster_2,VARS2
5,Cluster_5,VAV1
2,Cluster_2,VAV3
2,Cluster_2,VEGFA
2,Cluster_2,VGF
4,Cluster_4,VOPP1
3,Cluster_3,VPREB3
2,Cluster_2,VPS13B
4,Cluster_4,WASF3
6,Cluster_6,WASL
3,Cluster_3,WDFY4
4,Cluster_4,WDR1
5,Cluster_5,WDR31
2,Cluster_2,WDR61
2,Cluster_2,WDR63
5,Cluster_5,WDR66
2,Cluster_2,WDR67
2,Cluster_2,WDR83
5,Cluster_5,WDR96
2,Cluster_2,WFIKKN2
3,Cluster_3,WNK4
2,Cluster_2,WNT11
4,Cluster_4,WTAP
5,Cluster_5,WWTR1
5,Cluster_5,XBP1
3,Cluster_3,XCR1
6,Cluster_6,XIST
2,Cluster_2,YIPF2
6,Cluster_6,YIPF6
2,Cluster_2,ZBED3
6,Cluster_6,ZBTB44
2,Cluster_2,ZBTB47
4,Cluster_4,ZBTB8B
6,Cluster_6,ZC3H11A
3,Cluster_3,ZC3H12A
2,Cluster_2,ZC3H6
6,Cluster_6,ZDBF2
4,Cluster_4,ZDHHC23
4,Cluster_4,ZFP161
5,Cluster_5,ZFP2
4,Cluster_4,ZFP64
5,Cluster_5,ZFX
2,Cluster_2,ZGLP1
6,Cluster_6,ZKSCAN1
6,Cluster_6,ZMYM1
1,Cluster_1,ZMYM6NB
6,Cluster_6,ZNF121
5,Cluster_5,ZNF165
3,Cluster_3,ZNF2
4,Cluster_4,ZNF207
4,Cluster_4,ZNF215
6,Cluster_6,ZNF217
2,Cluster_2,ZNF224
5,Cluster_5,ZNF251
2,Cluster_2,ZNF256
2,Cluster_2,ZNF295
4,Cluster_4,ZNF318
2,Cluster_2,ZNF32
4,Cluster_4,ZNF326
4,Cluster_4,ZNF362
4,Cluster_4,ZNF367
2,Cluster_2,ZNF404
2,Cluster_2,ZNF425
4,Cluster_4,ZNF443
2,Cluster_2,ZNF503-AS1
4,Cluster_4,ZNF507
4,Cluster_4,ZNF514
2,Cluster_2,ZNF518B
3,Cluster_3,ZNF574
5,Cluster_5,ZNF577
6,Cluster_6,ZNF585A
6,Cluster_6,ZNF585B
2,Cluster_2,ZNF596
5,Cluster_5,ZNF605
5,Cluster_5,ZNF606
2,Cluster_2,ZNF608
4,Cluster_4,ZNF641
2,Cluster_2,ZNF692
2,Cluster_2,ZNF695
4,Cluster_4,ZNF697
2,Cluster_2,ZNF773
4,Cluster_4,ZNF823
3,Cluster_3,ZNF843
3,Cluster_3,ZNFX1
2,Cluster_2,ZRSR2
3,Cluster_3,ZSCAN1
2,Cluster_2,ZSCAN18
6,Cluster_6,ZZZ3
